filing_uuid,general_issue_code
3bdf4958-ed7f-47ee-9c69-bf2137a429f0,FIN
7d3bc68c-286a-40f6-b157-03d02b6560bb,HCR
72887369-3ca6-44ce-aa21-f44826b661d5,CAW
6154b392-cbdf-4f4c-be5f-00237d61e639,PHA
696cef9d-8659-46f3-a25b-6fde26a45ad5,ECN
467fba50-893e-413d-8e6c-a30d71e54cce,DIS
905bc0dd-d9f4-4ed3-8800-bc064747eee5,DEF
3519d4b4-350b-48dd-a44d-d18921475ce6,ENV
d8286134-2078-4d96-bd2b-08233db1d27f,TOB
ce16ab56-45d3-41ae-87d3-65a007d239d3,BUD
3990d92c-f204-4d71-a0ab-4460f6a0274b,RET
05331779-50c6-4f67-8c30-230dc2e68a23,SCI
1e661bf4-6888-45c5-9239-7e267429a087,LAW
5f71b3e2-5911-4cf1-b2f0-ae4446ca641e,ENG
43708629-29e7-4022-9de1-41722d8a865c,HOM
93522292-b12d-45b0-a7a2-2688a95f4380,ENG
ea813fb1-b393-4c20-90c7-5c4bf856f779,AGR
eb08eb78-c0a2-47ed-856f-a62ea661b963,LAW
cebb4169-2ab8-4b8e-9cdf-45667ba02278,BUD
865ef552-fee5-4058-bcd5-5e7db4feaa16,AGR
c81ba0ae-dee4-45eb-8511-586ba99a7f04,CPT
4a7eefbe-13e7-43f1-98a1-996fdf2707fc,BUD
9f08549f-3875-4d57-9db7-ed1e5bf3c7fb,TRD
99d1cdee-b5c8-4ea0-8eb2-5649ce97aa28,HCR
00ff79cd-166c-44d2-8593-d3424f2603ac,MMM
ff80485a-1302-4dba-881e-47c5948bf5e3,DEF
7b7321c8-03d8-40e6-9ceb-98468011667c,DEF
05cee7b0-45b8-4e5d-9524-3b162e93f1b7,MMM
6d466cd5-b73b-4a4b-ba6e-8c828a6165c2,FOR
3c753268-f1c7-4b0a-8283-7bf433cb5752,BAN
a4008933-67c4-4a26-bc62-3f3c8030c732,CAW
311ef05e-5580-4b83-b8df-dca6b5dee4ce,AGR
b84604c4-5ed8-4e4a-a3f8-866e10361ddd,FIN
a05be619-f320-4483-81df-d0fe4f7fb869,TRD
1b4158fc-1b70-40f6-893c-a8833e89fb97,TRD
71642085-d9d6-444f-8f4f-0fd14812bb31,TRA
a3886e11-9eb0-4682-9a17-13ecb3678882,DEF
f3f2f448-94aa-4887-a222-ad902cc51294,GOV
231a2555-74c1-493d-90cf-3a1015fb3ee7,BUD
8c347e7e-ae74-4b5f-96dd-05d8ecdaa217,BUD
86d9834d-f392-4610-9853-c2ea5d2fa239,AVI
7b954c3d-3703-46c1-af79-7c113f2cba58,BUD
0f757f2a-40c9-4810-97f7-dd00e49620ef,DEF
1e02b73f-5d6a-4bcc-8028-ff88766ebc54,AGR
ac9196ad-c65e-41ea-ad7a-d330976bfe70,AGR
197b93bb-6175-4bcc-8a30-550e13eed3aa,IND
e65ee9d1-2785-4e65-b21b-90f085bfb30c,MMM
2e657371-7b0c-452f-b626-a2fcd409d6fd,DEF
dc061bb9-841a-4db5-bcb6-b8bf49006340,DEF
66cc5808-d784-4900-b9e7-1eb5b36fb8cc,TAX
f6f31cc1-42b8-4e3e-b65e-0e5d234fb441,TAX
c39443e8-4011-469f-a689-ccc63c9697f6,BUD
72d69e55-d212-4063-a7a0-c0c08b2913d5,BUD
a72b4c40-947d-4b53-89f3-0b455ce75957,TRD
907750c2-205e-4cf2-8435-3c8dc0d08045,AGR
3f996e48-5d64-4745-b9a7-432a5e7bb9e3,ENG
817ac146-08f4-44be-a3ec-e24b69d7afed,HCR
d389e723-5c6b-4434-9e95-88dee22112ff,MMM
8099568f-1047-4ad1-98c2-cf25c3c48b67,INS
3a210b2a-b6d2-4337-a738-0e8c524e8f99,CPT
b9bbdb5a-1508-41ef-a1fe-f9e9cdcfe0a4,BUD
26288527-fe37-413f-b262-759bd1a6c207,TAX
dd76effd-c4a5-4a23-b83d-a9aff2dbbc54,TAX
e4cec9a7-d147-426f-884f-677c7aa7d03f,CHM
314990e9-4880-441e-9860-996a0f2b7d35,PHA
f7ae321e-0bf0-438c-b377-4f41944b8f97,CAW
c7226ecd-2da4-4e05-8738-c327ed4c4406,DEF
22e2050a-e538-4e0d-983f-f10da28b3077,RET
db10383a-1515-49df-a90e-f64fd9a10bb1,TAX
78e3a684-f5c3-41d3-b518-39699f9cc30e,BUD
46337053-f602-43c9-bf2e-27a8edfdcb59,BUD
27ee9aac-0339-48df-9705-e8d92862757d,TAX
88c2546f-9803-4285-9fcb-40e9a81ae553,BUD
00e275b4-edf0-46b6-9680-781a92854891,TRA
fa21bb3e-9c8a-4ec7-97ea-1a7b49dbc872,FIN
e9e5272f-f22a-4f5d-b75b-71634e716745,AVI
ebc6f384-2569-4ef7-8276-44741cb33d02,INS
75eb097d-3596-466f-bfb5-f1674fcb2df1,IND
faf22901-c635-431b-aa8c-e762428a0bf8,BUD
364178bd-4cd1-4b2e-b539-6a32a9ef5f6e,FUE
e29054d3-fd9d-4d70-a1a1-5c8521feb84f,BAN
74aaa299-84ee-46aa-992f-981af753073c,EDU
54aa73ae-fb30-4e7b-abc6-43e2a03524fc,LAW
2573f32b-7fb7-48fe-b433-3afb6d136c1e,BUD
463201e4-bb6f-49c5-a785-0a3fe6caaada,TAX
147f6ab4-c489-4fd6-a287-dd0291bc199a,TRD
c095f387-e81e-4878-ab2f-91f00d730241,UTI
a355b574-f4e4-4ac2-8c5e-b1650ad066ba,POS
e06e63e7-cc90-4277-85b9-a8e82be67a0d,TAX
